ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
113732,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Usuarios/id/estado,404,Not Found,2,377,0
113731,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Comprobantes/comprobanteId/anular,404,Not Found,2,377,0
113729,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/resumen-atencion,401,Unauthorized,1,406,0
113728,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/boleta-pago,401,Unauthorized,1,406,0
113727,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Citas/id/reprogramar,404,Not Found,1,377,0
113726,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Citas,401,Unauthorized,1,406,0
113725,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Doctores/contratar,401,Unauthorized,1,406,0
113724,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Atenciones/id/cerrar,404,Not Found,0,377,0
113723,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/constancia-cita,401,Unauthorized,2,406,0
113722,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Citas/id/cancelar,404,Not Found,1,377,0
113735,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Roles/id,404,Not Found,1,377,0
113736,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Atenciones/id/cerrar,404,Not Found,1,377,0
113737,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Doctores,401,Unauthorized,0,406,0
113738,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Roles/asignar-permisos,401,Unauthorized,0,406,0
113739,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Pacientes,401,Unauthorized,0,406,0
113742,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Pacientes/id/contacto,404,Not Found,1,377,0
113743,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Horarios/id,404,Not Found,0,377,0
113744,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/estado-cuenta,401,Unauthorized,0,406,0
113745,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Doctores/id,404,Not Found,1,377,0
113746,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Horarios,401,Unauthorized,1,406,0
113747,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Finanzas/ajustes-financieros,401,Unauthorized,1,406,0
113748,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Pagos,401,Unauthorized,1,406,0
113766,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/atenciones/atencionId/ecografias,404,Not Found,1,377,0
113764,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Usuarios/id,404,Not Found,0,377,0
113763,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Pacientes,401,Unauthorized,0,406,0
113762,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Auth/cambiar-contrasena,401,Unauthorized,0,406,0
113761,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,PUT,https://localhost:7241/api/Citas/id/reprogramar,404,Not Found,0,377,0
113760,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Atenciones,401,Unauthorized,0,406,0
113759,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Certificados/block,401,Unauthorized,0,406,0
113758,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/resumen-atencion,401,Unauthorized,0,406,0
113757,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Doctores/contratar,401,Unauthorized,1,406,0
113756,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/atenciones/atencionId/anamnesis,404,Not Found,1,377,0
113755,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/atenciones/atencionId/diagnostico,404,Not Found,1,377,0
113754,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Comprobantes/emitir/constancia-cita,401,Unauthorized,1,406,0
113753,Tue Jun 23 11:46:26 PET 2026,Tue Jun 23 11:46:26 PET 2026,POST,https://localhost:7241/api/Usuarios,401,Unauthorized,1,406,0
